"tipo_vehiculo","anio_transferencia","mes_transferencia","provincia_transferencia","letra_provincia_transferencia","cantidad_transferencias","provincia_id"
"Automotores",2000,5,"Ciudad Autónoma de Bs.As.","C",9775,"02"
"Automotores",2000,5,"Córdoba","X",8296,"14"
"Automotores",2000,5,"Corrientes","W",761,"18"
"Automotores",2000,5,"Entre Ríos","E",1821,"30"
"Automotores",2000,5,"Formosa","P",229,"34"
"Automotores",2000,5,"Jujuy","Y",531,"38"
"Automotores",2000,5,"La Pampa","L",549,"42"
"Automotores",2000,5,"La Rioja","F",277,"46"
"Automotores",2000,5,"Mendoza","M",4306,"50"
"Automotores",2000,5,"Misiones","N",966,"54"
"Automotores",2000,5,"Neuquén","Q",764,"58"
"Automotores",2000,5,"Río Negro","R",726,"62"
"Automotores",2000,5,"Salta","A",627,"66"
"Automotores",2000,5,"San Juan","J",845,"70"
"Automotores",2000,5,"San Luis","D",375,"74"
"Automotores",2000,5,"Santa Cruz","Z",408,"78"
"Automotores",2000,5,"Santa Fe","S",5500,"82"
"Automotores",2000,5,"Santiago del Estero","G",304,"86"
"Automotores",2000,5,"Tierra del Fuego","V",377,"94"
"Automotores",2000,5,"Tucumán","T",946,"90"
"Automotores",2000,6,"Buenos Aires","B",19352,"06"
"Automotores",2000,6,"Catamarca","K",238,"10"
"Automotores",2000,6,"Chaco","H",653,"22"
"Automotores",2000,6,"Chubut","U",853,"26"
"Automotores",2000,6,"Ciudad Autónoma de Bs.As.","C",10185,"02"
"Automotores",2000,6,"Córdoba","X",8254,"14"
"Automotores",2000,6,"Corrientes","W",729,"18"
"Automotores",2000,6,"Entre Ríos","E",1742,"30"
"Automotores",2000,6,"Formosa","P",236,"34"
"Automotores",2000,6,"Jujuy","Y",549,"38"
"Automotores",2000,6,"La Pampa","L",501,"42"
"Automotores",2000,6,"La Rioja","F",295,"46"
"Automotores",2000,6,"Mendoza","M",4016,"50"
"Automotores",2000,6,"Misiones","N",886,"54"
"Automotores",2000,6,"Neuquén","Q",663,"58"
"Automotores",2000,6,"Río Negro","R",647,"62"
"Automotores",2000,6,"Salta","A",667,"66"
"Automotores",2000,6,"San Juan","J",735,"70"
"Automotores",2000,6,"San Luis","D",360,"74"
"Automotores",2000,6,"Santa Cruz","Z",339,"78"
"Automotores",2000,6,"Santa Fe","S",5620,"82"
"Automotores",2000,6,"Santiago del Estero","G",287,"86"
"Automotores",2000,6,"Tierra del Fuego","V",290,"94"
"Automotores",2000,6,"Tucumán","T",908,"90"
"Automotores",2000,7,"Buenos Aires","B",21449,"06"
"Automotores",2000,7,"Catamarca","K",262,"10"
"Automotores",2000,7,"Chaco","H",724,"22"
"Automotores",2000,7,"Chubut","U",871,"26"
"Automotores",2000,7,"Ciudad Autónoma de Bs.As.","C",11244,"02"
"Automotores",2000,7,"Córdoba","X",9036,"14"
"Automotores",2000,7,"Corrientes","W",829,"18"
"Automotores",2000,7,"Entre Ríos","E",1897,"30"
"Automotores",2000,7,"Formosa","P",277,"34"
"Automotores",2000,7,"Jujuy","Y",515,"38"
"Automotores",2000,7,"La Pampa","L",537,"42"
"Automotores",2000,7,"La Rioja","F",279,"46"
"Automotores",2000,7,"Mendoza","M",4051,"50"
"Automotores",2000,7,"Misiones","N",1152,"54"
"Automotores",2000,7,"Neuquén","Q",827,"58"
"Automotores",2000,7,"Río Negro","R",685,"62"
"Automotores",2000,7,"Salta","A",719,"66"
"Automotores",2000,7,"San Juan","J",921,"70"
"Automotores",2000,7,"San Luis","D",436,"74"
"Automotores",2000,7,"Santa Cruz","Z",411,"78"
"Automotores",2000,7,"Santa Fe","S",6220,"82"
"Automotores",2000,7,"Santiago del Estero","G",332,"86"
"Automotores",2000,7,"Tierra del Fuego","V",383,"94"
"Automotores",2000,7,"Tucumán","T",1112,"90"
"Automotores",2000,8,"Buenos Aires","B",23693,"06"
"Automotores",2000,8,"Catamarca","K",253,"10"
"Automotores",2000,8,"Chaco","H",762,"22"
"Automotores",2000,8,"Chubut","U",1099,"26"
"Automotores",2000,8,"Ciudad Autónoma de Bs.As.","C",12404,"02"
"Automotores",2000,8,"Córdoba","X",9884,"14"
"Automotores",2000,8,"Corrientes","W",977,"18"
"Automotores",2000,8,"Entre Ríos","E",2147,"30"
"Automotores",2000,8,"Formosa","P",274,"34"
"Automotores",2000,8,"Jujuy","Y",492,"38"
"Automotores",2000,8,"La Pampa","L",531,"42"
"Automotores",2000,8,"La Rioja","F",311,"46"
"Automotores",2000,8,"Mendoza","M",4699,"50"
"Automotores",2000,8,"Misiones","N",1035,"54"
"Automotores",2000,8,"Neuquén","Q",891,"58"
"Automotores",2000,8,"Río Negro","R",755,"62"
"Automotores",2000,8,"Salta","A",802,"66"
"Automotores",2000,8,"San Juan","J",1041,"70"
"Automotores",2000,8,"San Luis","D",474,"74"
"Automotores",2000,8,"Santa Cruz","Z",424,"78"
"Automotores",2000,8,"Santa Fe","S",6788,"82"
"Automotores",2000,8,"Santiago del Estero","G",372,"86"
"Automotores",2000,8,"Tierra del Fuego","V",381,"94"
"Automotores",2000,8,"Tucumán","T",1240,"90"
